rank_unique,rank_unique_cleaned
乙酉鄉試四十九名,四十九
二百五十一名,二百五十一
三名,三
二百九十八名,二百九十八
壬午鄉試五十五名,五十五
一百二名,一百二
乙酉鄉試六十五名,六十五
一百五十九名,一百五十九
乙酉鄉試七十四名,七十四
一百八十六名,一百八十六
一百三十六名,一百三十六
壬午鄉試八十一名,八十一
一百十二名,一百十二
三百二十八名,三百二十八
一百七十名,一百七十
己卯鄉試二十六名,二十六
四十四名,四十四
乙酉鄉試三十七名,三十七
二名,二
九十五名,九十五
一百四十一名,一百四十一
乙酉順天鄉試一百二十二名,一百二十二
三百三十六名,三百三十六
壬午鄉試八名,八
十七名,十七
乙酉順天鄉試三名,三
二十名,二十
壬午鄉試九十名,九十
二十九名,二十九
三百三十一名,三百三十一
一百六十名,一百六十
一百六十六名,一百六十六
一百三十二名,一百三十二
一百十九名,一百十九
三百三十八名,三百三十八
三百四十五名,三百四十五
壬午鄉試十五名,十五
三百三十九名,三百三十九
一百九名,一百九
四十名,四十
壬午鄉試一百十七名,一百十七
三百四十二名,三百四十二
壬午順天鄉試六十五名,六十五
一百九十一名,一百九十一
壬午鄉試七名,七
二百十三名,二百十三
乙酉鄉試六十二名,六十二
四十六名,四十六
乙酉鄉試三十二名,三十二
五名,五
第士一名,十一
乙酉鄉試二十四名,二十四
二百九十四名,二百九十四
八十四名,八十四
己卯鄉試六十五名,六十五
一百二十一名,一百二十一
乙酉鄉試五十名,五十
二百三十三名,二百三十三
三百二十四名,三百二十四
一百四十五名,一百四十五
一百四十四名,一百四十四
一百六十九名,一百六十九
五十三名,五十三
五十八名,五十八
一百三十七名,一百三十七
乙酉鄉試六十九名,六十九
一百五十名,一百五十
乙酉鄉試六十名,六十
一百五十八名,一百五十八
乙酉鄉試一百二十六名,一百二十六
一百六十八名,一百六十八
一百八十九名,一百八十九
一百九十八名,一百九十八
癸酉順天鄉試四十三名,四十三
二百二十五名,二百二十五
二百八十二名,二百八十二
三百五名,三百五
江西鄉試第一百九名,一百九
第□□□,
浙江鄉試第□□名,
福建鄉試第□□□,
應天府鄉試第□□名,
山西鄉試第□□,
浙江鄉試□□名,
江西鄉試第六□□,
浙江鄉試第七□□名,
福建鄉試第□□名,
江西鄉試第□□三名,
河南鄉試第□□名,
廣東鄉試第□□七名,
湖廣鄉試第□□名,
江西鄉試第□□名,
山東鄉試第□□名,
福建鄉 試第十六名,十六
順天鄉試第□□名,
廣東鄉試第□□四名,
湖廣鄉試第一百□,
會試第七十八名,七十八
浙江鄉試第□名　,
順天府鄉試第□五名,
順天府鄉試第□十一名,
順天府鄉試第□十三名,
北京行部鄉試第□名,
河南鄉試第□三十名,
湖廣鄉試第□六名,
河南鄉試第一百二十七名,一百二十七
直隸己卯鄉試,
直隸戊子鄉試,
直隸辛卯鄉試,
直隸乙酉鄉試,
直隸癸酉鄉試,
直隸壬午鄉試,
直隸丙子鄉試,
南直隸丙子鄉試,
南直隸戊子鄉試,
南直隸辛卯鄉試,
南直隸壬午鄉試,
南直隸己卯鄉試,
南直隸,
南直隸乙酉鄉試,
會試二百四名,二百四
第二百二十□名,
第二            名,二
浙江省辛卯鄉試,
浙江省壬午鄉試,
浙江省乙酉鄉試,
浙江省,
浙江省己卯鄉試,
浙江省丙子鄉試,
浙江省戊子鄉試,
浙江省庚午鄉試,
江西戊子鄉試,
江西辛卯鄉試,
江西乙酉鄉試,
江西丙子鄉試,
江西壬午鄉試,
江西己卯鄉試,
江西癸酉鄉試,
福建乙酉鄉試,
第第一名,一
福建己卯鄉試,
福建戊子鄉試,
福建戊午鄉試,
福建辛卯鄉試,
福建壬午鄉試,
湖廣己卯鄉試,
湖廣壬午鄉試,
湖廣戊子鄉試,
湖廣乙酉鄉試,
湖廣辛卯鄉試,
湖廣壬子鄉試,
湖廣丙子鄉試,
湖廣庚子鄉試,
河南丙子鄉試,
河南乙酉鄉試,
河南戊子鄉試,
河南丁卯鄉試,
河南辛卯鄉試,
河南壬午鄉試,
山東辛卯鄉試,
山東戊子鄉試,
山東乙酉鄉試,
山東己卯鄉試,
山東丙子鄉試,
山東壬午鄉試,
山東癸酉鄉試,
遼東辛卯鄉試,
山西庚午鄉試,
山西辛卯鄉試,
山西戊子鄉試,
山西乙酉鄉試,
山西壬午鄉試,
山西己卯鄉試,
山西癸酉鄉試,
山西丙子鄉試,
第名,
陝西丙子鄉試,
陝西己卯鄉試,
陝西辛卯鄉試,
陝西乙酉鄉試,
陝西壬午鄉試,
一百三十五名未廷試,一百三十五
四川丙子鄉試,
四川戊子鄉試,
四川辛卯鄉試,
四川壬午鄉試,
四川癸酉鄉試,
四川乙酉鄉試,
四川己卯鄉試,
廣東戊子鄉試,
廣東壬午鄉試,
廣東丙子鄉試,
廣西己卯鄉試,
甲午鄉試八名,八
戊子鄉試十五名,十五
戊子鄉試十三名,十三
己酉鄉試七十四名,七十四
丙午鄉試五十七名,五十七
辛卯鄉試三名,三
癸卯鄉試三十四名,三十四
癸卯鄉試一百二十九名,一百二十九
癸卯鄉試四十五名,四十五
丙午鄉試十名,十
庚子鄉試四名,四
第一十三名,一十三
庚子鄉試一名,一
丙午鄉試六十八名,六十八
丙午鄉試八十七名,八十七
辛卯鄉試二十二名,二十二
己酉鄉試一名,一
己酉鄉試二十八名,二十八
庚子鄉試五十九名,五十九
癸卯鄉試七十四名,七十四
丙午鄉試一名,一
己酉鄉試二十六名,二十六
丁酉鄉試七名,七
戊子鄉試二十三名,二十三
丁酉鄉試三十九名,三十九
辛卯鄉試六名,六
丁酉鄉試二十二名,二十二
丙午鄉試四十五名,四十五
己酉順天鄉試十五名,十五
癸卯鄉試一百二十六名,一百二十六
己酉鄉試六十五名,六十五
辛卯鄉試十二名,十二
甲午鄉試一名,一
丁酉鄉試五十二名,五十二
己酉鄉試十四名,十四
甲午鄉試五十四名,五十四
丙午鄉試三十二名,三十二
丁酉鄉試六十九名,六十九
甲午鄉試三十三名,三十三
癸卯鄉試十四名,十四
癸卯鄉試九十名,九十
辛卯鄉試七十五名,七十五
丙午鄉試二十八名,二十八
癸卯鄉試二十六名,二十六
庚子鄉試七十六名,七十六
一百二十八名,一百二十八
癸卯鄉試九名,九
甲午鄉試六十一名,六十一
甲午鄉試五十名,五十
庚子鄉試四十五名,四十五
丙午鄉試四十八名,四十八
辛丑鄉試九十八名,九十八
辛卯鄉試三十名,三十
辛酉鄉試二十二名,二十二
庚子鄉試六十二名,六十二
庚子鄉試五十二名,五十二
丙午鄉試三名,三
癸卯鄉試十二名,十二
丙午鄉試五十名,五十
癸卯鄉試八名,八
庚子鄉試十五名,十五
癸卯鄉試二十一名,二十一
辛卯鄉試三十五名,三十五
己酉鄉試十六名,十六
一百十一名,一百十一
己酉鄉試八十八名,八十八
庚子鄉試六十七名,六十七
庚子鄉試十七名,十七
庚子鄉試四十七名,四十七
甲午鄉試七十七名,七十七
甲辰會試二百三十名,二百三十
癸卯鄉試三十五名,三十五
癸卯鄉試二十七名,二十七
癸卯鄉試八十一名,八十一
庚子鄉試二十八名,二十八
己酉鄉試五名,五
庚子鄉試五十名,五十
丙午鄉試十一名,十一
癸卯鄉試六十六名,六十六
癸卯鄉試五名,五
庚子鄉試三十二名,三十二
丙午鄉試六名,六
甲午鄉試七十五名,七十五
丁酉鄉試三十五名,三十五
甲午鄉試十九名,十九
丙午鄉試二十五名,二十五
己酉鄉試七名,七
癸卯鄉試四十一名,四十一
癸卯鄉試六十名,六十
己酉鄉試七十五名,七十五
癸卯鄉試三十九名,三十九
癸卯鄉試三十三名,三十三
癸卯鄉試四十八名,四十八
癸卯鄉試二名,二
己酉鄉試四十二名,四十二
甲午鄉試四十九名,四十九
己酉鄉試十一名,十一
己酉鄉試七十三名,七十三
癸卯鄉試九十一名,九十一
丙午鄉試三十三名,三十三
甲午鄉試三名,三
丙午鄉試八十三名,八十三
丙午鄉試四十三名,四十三
丙午鄉試二十三名,二十三
丁未會試二百八十三名,二百八十三
庚子鄉試四十名,四十
己酉鄉試八十二名,八十二
己酉鄉試六十一名,六十一
己酉鄉試三十名,三十
丙午鄉試一百十六名,一百十六
丁酉鄉試八十三名,八十三
癸卯鄉試五十名,五十
丁酉鄉試四十八名,四十八
丙午鄉試十三名,十三
丁酉鄉試十九名,十九
己酉鄉試二十三名,二十三
癸卯鄉試十一名,十一
丙午鄉試十六名,十六
庚子鄉試三十八名,三十八
己酉鄉試四十六名,四十六
庚子鄉試五十七名,五十七
丁酉鄉試五十名,五十
癸卯鄉試三十一名,三十一
甲午鄉試六十名,六十
庚子鄉試四十九名,四十九
己酉鄉試十九名,十九
癸卯鄉試七十名,七十
丁酉鄉試四十名,四十
丙午鄉試二十七名,二十七
癸卯鄉試六十三名,六十三
癸卯鄉試二十九名,二十九
丁酉鄉試五十四名,五十四
己酉鄉試十三名,十三
己酉鄉試一百三十三名,一百三十三
庚子鄉試七十三名,七十三
己酉鄉試四十七名,四十七
癸卯鄉試三十八名,三十八
己酉鄉試三十二名,三十二
己酉鄉試三十三名,三十三
一百二十六名,一百二十六
癸卯鄉試七名,七
丙午鄉試二名,二
丙午鄉試五十九名,五十九
己酉鄉試一百三名,一百三
癸卯鄉試三十二名,三十二
丙午鄉試五十八名,五十八
丙午鄉試四十名,四十
甲午鄉試四十五名,四十五
□□鄉試四十五名,四十五
癸卯鄉試六名,六
己酉鄉試三十六名,三十六
庚子鄉試三十四名,三十四
丙午鄉試一百二十六名,一百二十六
己酉鄉試四十四名,四十四
庚子鄉試十九名,十九
癸卯鄉試二十名,二十
己酉鄉試六名,六
丙午鄉試七名,七
庚子鄉試二十一名,二十一
丙午鄉試一百二十名,一百二十
庚子鄉試七十二名,七十二
癸卯鄉試五十四名,五十四
丙午鄉試二十三名　,二十三
癸卯鄉試九十九名,九十九
庚子鄉試二十七名,二十七
丙午鄉試一百名,一百
庚子鄉試三十名,三十
庚子鄉試十二名,十二
丁酉鄉試六十六名,六十六
丙午鄉試十八名,十八
丁酉鄉試六名,六
癸卯鄉試三十名,三十
丙午鄉試三十七名,三十七
己酉鄉試二十四名,二十四
癸卯鄉試十名,十
己酉鄉試四十九名,四十九
癸卯鄉試十七名,十七
丙午鄉試五名,五
庚子鄉試十八名,十八
己酉順天鄉試第八名,八
庚子鄉試二十六名,二十六
丙午鄉試六十四名,六十四
順天鄉試十三名,十三
丙午鄉試四十四名,四十四
丁未會試一百三名,一百三
癸卯鄉試二十五名,二十五
丁酉鄉試二十九名,二十九
庚子鄉試七名,七
庚子鄉試七十八名,七十八
己酉鄉試五十六名,五十六
庚子鄉試六名,六
己酉鄉試二十二名,二十二
庚子鄉試一百二十九名,一百二十九
己酉鄉試四十五名,四十五
庚子鄉試六十一名,六十一
癸卯鄉試二十二名,二十二
丙午鄉試八十二名,八十二
己酉鄉試十名,十
癸卯鄉試七十一名,七十一
丙午鄉試十七名,十七
己酉鄉試六十九名,六十九
庚子鄉試三十一名,三十一
己酉,
己酉鄉試一百九名,一百九
己酉鄉試三十一名,三十一
癸卯鄉試三名,三
一百一十九名,一百一十九
己酉鄉試八十六名,八十六
江西鄉試第一百十三名,一百十三
塵天府鄉試第十三名,十三
順天府鄉試第三十一,三十一
四川鄉試第一十二名,一十二
順天鄉試第六名,六
順天鄉試第四十一名,四十一
第一百四十四,一百四十四
順天鄉試第四名,四
福建鄉試第,
四鄉試第二十一名,二十一
應天府鄉試八十二名,八十二
順天鄉試第六十七名,六十七
順天鄉試第二十二名,二十二
河南鄉試第一百六十名,一百六十
順天鄉試第九十六名,九十六
第一百叄十五名,一百三十五
江西鄉試第一,一
