rank_unique,rank_unique_cleaned
順天府鄉試第一十九名,一十九
第二百五十六名,二百五十六
第二百八十九名,二百八十九
第二百零一名,二百零一
江西鄉試第一百二十九名,一百二十九
第二百三名,二百三
第二百零二名,二百零二
第三百三十一名,三百三十一
第二百零三名,二百零三
順天府鄉試第二百二十七名,二百二十七
第二百零四名,二百零四
廣東鄉試第六十名,六十
第二百零五名,二百零五
第二百八十六名,二百八十六
第二百零六名,二百零六
第二百零七名,二百零七
第三百三十八名,三百三十八
第二百零八名,二百零八
第二百零九名,二百零九
山西鄉試第二十名,二十
第二百十三名,二百十三
第二百一十名,二百一十
四川鄉試第六十八名,六十八
第二百一十一名,二百一十一
第三百三十六名,三百三十六
第二百一十二名,二百一十二
第二百二十八名,二百二十八
第二百一十三名,二百一十三
應天府鄉試第八十四名,八十四
第二百五十八名,二百五十八
湖廣鄉試第二十四名,二十四
江西鄉試第四十二名,四十二
浙江鄉試第二十名,二十
應天府鄉試第三十八名,三十八
浙江鄉試第二十二名,二十二
順天府鄉試第七十一名,七十一
湖廣鄉試第六十五名,六十五
應天府鄉試第三十二名,三十二
山東鄉試第十四名,十四
湖廣鄉試第八十九名,八十九
廣東鄉試第三十五名,三十五
應天府鄉試第六十二名,六十二
江西鄉試第三十二名,三十二
應天府鄉試第一百五十名,一百五十
江西鄉試第九十一名,九十一
四川鄉試第七名,七
湖廣鄉試第十五名,十五
順天府鄉試第九十二名,九十二
福建鄉試第二十四名,二十四
順天府鄉試第一百三十六名,一百三十六
浙江鄉試第一百三名,一百三
應天府鄉試第三十一名,三十一
福建鄉試第一百十五名,一百十五
湖廣鄉試第四十名,四十
福建鄉試第十六名,十六
浙江鄉試第九十七名,九十七
浙江鄉試第一百十名,一百十
應天府鄉試第七十五名,七十五
河南鄉試第三十七名,三十七
雲南鄉試第十三名,十三
順天府鄉試第一百三十三名,一百三十三
廣東鄉試第三十四名,三十四
順天府鄉試第一百六十二名,一百六十二
應天府鄉試第九十八名,九十八
第二百五十二名,二百五十二
江西鄉試第二十六名,二十六
福建鄉試第一百二十一名,一百二十一
應天府鄉試第五十三名,五十三
應天府鄉試第一百二十八名,一百二十八
江西鄉試第七十七名,七十七
順天府鄉試第一百五十二名,一百五十二
順天府鄉試第九十九名,九十九
江西鄉試第一百三十五名,一百三十五
福建鄉試第一百八名,一百八
順天府鄉試第一百十五名,一百十五
四川鄉試第三十八名,三十八
第二百十六名,二百十六
江西鄉試第二十四名,二十四
應天府鄉試第一百六十一名,一百六十一
順天府鄉試第三十二名,三十二
江西鄉試第六十六名,六十六
四川鄉試第二十四名,二十四
四川鄉試第二十九名,二十九
山西鄉試第六名,六
江西鄉試第五十一名,五十一
順天府鄉試第三十八名,三十八
順天府鄉試第八十三名,八十三
福建鄉試第四十四名,四十四
四川鄉試第四名,四
應天府鄉試第十九名,十九
江西鄉試第九十五名,九十五
福建鄉試第七十名,七十
浙江鄉試第一百二十二名,一百二十二
應天府鄉試第一百五名,一百五
浙江鄉試第二名,二
廣西鄉試第四名,四
浙江鄉試第一百三十九名,一百三十九
江西鄉試第四十三名,四十三
浙江鄉試第九十八名,九十八
浙江鄉試第四十一名,四十一
應天府鄉試第五名,五
順天府鄉試第六十六名,六十六
河南鄉試第八名,八
第二百十九名,二百十九
河南鄉試第六十五名,六十五
廣東鄉試第六十六名,六十六
順天府鄉試第一百三十八名,一百三十八
第二百四十四名,二百四十四
應天府鄉試第六十一名,六十一
四川鄉試第四十八名,四十八
江西鄉試第一百二十四名,一百二十四
河南鄉試第八十七名,八十七
廣東鄉試第四十八名,四十八
四川鄉試第五十一名,五十一
江西鄉試第六十二名,六十二
四川鄉試第三十一名,三十一
浙江鄉試第二十三名,二十三
浙江鄉試第四十九名,四十九
河南鄉試第九十五名,九十五
湖廣鄉試第二十六名,二十六
順天府鄉試第五十四名,五十四
應天府鄉試第七十四名,七十四
河南鄉試第九十三名,九十三
順天府鄉試第六十四名,六十四
河南鄉試第九十名,九十
福建鄉試第五十八名,五十八
山東鄉試第五十□名,
河南鄉試第十九名,十九
順天府鄉試第一百六十七名,一百六十七
湖廣鄉試第九十名,九十
浙江鄉試第二十一名,二十一
湖廣鄉試第一百二十名,一百二十
順天府鄉試第九十六名,九十六
雲南鄉試第十六名,十六
應天府鄉試第六十六名,六十六
福建鄉試第三十四名,三十四
浙江鄉試第十四名,十四
順天府鄉試第五十六名,五十六
湖廣鄉試第九十九名,九十九
山西鄉試第七名,七
順天府鄉試第十六名,十六
山西鄉試第五十九名,五十九
陝西鄉試第六十二名,六十二
四川鄉試第三十七名,三十七
陝西鄉試第二十九名,二十九
順天府鄉試第三十三名,三十三
山東鄉試第六十九名,六十九
山東鄉試第五十九名,五十九
福建鄉試第二十三名,二十三
山東鄉試第七十三名,七十三
江西鄉試第一百三名,一百三
山西鄉試第六十八名,六十八
浙江鄉試第七十九名,七十九
應天府鄉試第一百四十九名,一百四十九
順天府鄉試第一百二十七名,一百二十七
第二百七名,二百七
順天府鄉試第二百七名,二百七
福建鄉試第一百二名,一百二
福建鄉試第九十二名,九十二
湖廣鄉試第三十二名,三十二
順天府鄉試第二百五名,二百五
河南鄉試第七十六名,七十六
應天府鄉試第九名,九
應天府鄉試第一百十名,一百十
順天府鄉試第四名,四
山西鄉試第六十六名,六十六
山東鄉試第十八名,十八
福建鄉試第六十三名,六十三
順天府鄉試第三十九名,三十九
江西鄉試第一百十一名,一百十一
廣東鄉試第五十名,五十
山東鄉試第二十一名,二十一
廣東鄉試第一百十六名,一百十六
廣西鄉試第一名,一
